S.No,Name of Students,Reg No,Faculty,Room No
1,Abdul Rahman,2k22-Agri-25,Agriculture,AR-01
2,Saima Bibi,2k23-Vet-12,Veterinary Science,AR-01
3,Muhammad Usman,2k21-FS-08,Food Science,AR-01
4,Aisha Khan,2k22-WM-15,Water Management,AR-02
5,Khalid Ahmed,2k23-MS-07,Marine Sciences,AR-02
6,Nida Ali,2k21-Env-20,Environmental Science,AR-02
7,Farooq Khan,2k22-Agri-33,Agriculture,AR-03
8,Sadia Malik,2k23-Vet-18,Veterinary Science,AR-03
9,Imran Ali,2k21-FS-11,Food Science,AR-03
10,Rabia Khan,2k22-WM-22,Water Management,AR-04


