S.No,Name of Students,Reg No,Faculty,Room No
1,Ahmed Ali,2k22-CS-15,Computer Science,H-01
2,Sara Khan,2k23-IT-22,Information Technology,H-01
3,Muhammad Hassan,2k21-EE-08,Electrical Engineering,H-01
4,Fatima Ahmed,2k22-ME-12,Mechanical Engineering,H-02
5,Ali Raza,2k23-CE-05,Civil Engineering,H-02
6,Ayesha Malik,2k22-Phy-18,Physics,H-02
7,Hassan Shah,2k21-Chem-25,Chemistry,H-03
8,Mariam Khan,2k23-Bio-14,Biology,H-03
9,Usman Ali,2k22-Math-09,Mathematics,H-03
10,Zainab Ahmed,2k21-Eco-16,Economics,H-04


